,Miestas,x,y,Gyventojų skaičius (2019 m.)
52,Panemunė,-388.0,-9.0,210
84,Troškūnai,156.0,146.0,372
69,Smalininkai,-264.0,-17.0,446
27,Kavarskas,176.0,94.0,528
10,Dusetos,341.0,200.0,560
87,Užventis,-244.0,207.0,649
51,Pandėlys,225.0,287.0,752
9,Dūkštas,434.0,122.0,765
46,Obeliai,329.0,261.0,847
88,Vabalninkas,136.0,275.0,875
98,Virbalis,-218.0,-169.0,885
70,Subačius,142.0,205.0,892
65,Seda,-343.0,342.0,953
7,Daugai,64.0,-256.0,980
90,Varniai,-298.0,195.0,995
19,Jieznas,36.0,-177.0,1023
21,Joniškėlis,35.0,286.0,1044
4,Baltoji Vokė,218.0,-227.0,1052
91,Veisiejai,-65.0,-343.0,1211
56,Priekulė,-502.0,141.0,1246
66,Simnas,-70.0,-249.0,1269
39,Linkuva,-6.0,305.0,1277
64,Salantai,-449.0,305.0,1360
101,Žagarė,-136.0,390.0,1366
59,Ramygala,51.0,117.0,1415
67,Skaudvilė,-263.0,83.0,1453
34,Kudirkos Naumiestis,-208.0,-116.0,1480
48,Pagėgiai,-379.0,8.0,1579
16,Gelgaudiškis,-194.0,-22.0,1603
13,Ežerėlis,-73.0,-90.0,1637
93,Viekšniai,-271.0,363.0,1670
82,Tytuvėnai,-151.0,147.0,1889
96,Vilkija,-75.0,-32.0,1898
63,Rūdiškės,151.0,-207.0,2030
92,Venta,-237.0,345.0,2213
0,Akmenė,-223.0,364.0,2363
5,Birštonas,9.0,-178.0,2369
73,Šeduva,-51.0,197.0,2541
3,Ariogala,-100.0,39.0,2773
11,Eišiškės,190.0,-308.0,3071
61,Rietavas,-383.0,190.0,3207
102,Žiežmariai,81.0,-110.0,3214
45,Neringa,-538.0,127.0,3464
37,Lazdijai,-93.0,-295.0,3700
25,Kalvarija,-146.0,-240.0,3858
79,Švenčionys,401.0,1.0,4139
83,Trakai,171.0,-159.0,4238
49,Pakruojis,-26.0,273.0,4407
44,Nemenčinė,278.0,-96.0,4502
94,Vievis,157.0,-125.0,4508
